Source Target Weight
侯三 白展堂 4
和尚 老和尚 4
和尚 佟湘玉 4
和尚 武功 4
桂花 祝无双 4
武林 佟湘玉 6
武林 李大嘴 10
武林 郭芙蓉 8
武林 吕秀才 13
武林 祝无双 4
武林 白展堂 8
武林 燕小六 8
武林 莫小贝 6
侯哥 吕秀才 5
侯哥 郭芙蓉 35
别光 白展堂 6
别光 郭芙蓉 5
慕容 大侠 17
慕容 白玉 6
慕容 谢谢 5
慕容 小贝 5
老白 佟湘玉 20
老白 郭芙蓉 59
老白 小郭 4
老白 小米 6
老白 邢捕头 12
老白 李大嘴 30
老白 燕小六 23
老白 武功 4
老白 吕秀才 50
小贝 毛巾 5
小贝 小米 20
小贝 李大嘴 18
小贝 陆一鸣 5
小贝 郭芙蓉 56
小贝 冷笑 7
小贝 祝无双 10
小贝 哈欠 4
小贝 白展堂 79
小贝 燕小六 4
小贝 武功 15
小贝 慕容 5
小贝 利剑 4
小贝 佟湘玉 233
小贝 小郭 58
小贝 佟入 6
小贝 老汉 4
小贝 佟和白 4
小贝 展堂 7
小贝 莫小贝 4
小贝 小六 9
小贝 小冬 10
小贝 钱夫人 9
小贝 吕秀才 36
小贝 邱小冬 6
小贝 松涛 13
燕小六 小米 5
燕小六 小明 4
燕小六 武林 8
燕小六 封信 4
燕小六 祝无双 10
燕小六 郭芙蓉 8
燕小六 白展堂 9
燕小六 武功 11
燕小六 谢谢 4
燕小六 钱掌柜 6
燕小六 老白 23
燕小六 小郭 7
燕小六 邢捕头 9
燕小六 明白 7
燕小六 曹公公 5
燕小六 小贝 4
燕小六 小六 16
燕小六 瓦希里 13
燕小六 武二郎 4
小明 水清 4
小明 祝无双 6
小明 燕小六 4
大侠 佟湘玉 13
大侠 吕秀才 13
大侠 邢捕头 5
大侠 白展堂 18
大侠 郭芙蓉 17
大侠 慕容 17
祝无双 玉姐 12
祝无双 师兄 75
祝无双 桂花 4
祝无双 武林 4
祝无双 智慧 4
祝无双 封信 8
祝无双 楚留香 4
祝无双 吕先生 6
祝无双 白展堂 11
祝无双 燕小六 10
祝无双 武功 15
祝无双 谢谢 10
祝无双 原谅 5
祝无双 小郭 4
祝无双 明白 15
祝无双 曹公公 4
祝无双 小贝 10
祝无双 郭姑娘 8
祝无双 小六 9
祝无双 小明 6
牛肉干 莫小贝 4
何必当初 佟湘玉 4
吕秀才 李大嘴 21
吕秀才 郭芙蓉 58
吕秀才 侯哥 5
吕秀才 谢谢 19
吕秀才 老白 50
吕秀才 明白 24
吕秀才 姬无命 11
吕秀才 小贝 36
吕秀才 孔子 4
吕秀才 武林 13
吕秀才 郭小姐 17
吕秀才 大侠 13
吕秀才 莫小贝 10
吕秀才 白展堂 18
吕秀才 武功 22
吕秀才 佟湘玉 7
吕秀才 小郭 12
吕秀才 吕轻侯 10
吕秀才 小六 14
吕秀才 伯父 6
静一静 白展堂 4
钱掌柜 佟湘玉 11
钱掌柜 邢捕头 4
钱掌柜 白展堂 5
钱掌柜 李大嘴 12
钱掌柜 燕小六 6
利剑 小贝 4
谢谢您 郭芙蓉 5
老太太 佟湘玉 7
老太太 邢捕头 5
老太太 白展堂 6
老太太 李大嘴 5
吕轻侯 吕秀才 10
小红 李大嘴 8
谢仲达 小妹妹 8
小姬 白展堂 8
武二郎 燕小六 4
白银 杨蕙兰 5
胡子 邢捕头 4
胡子 朱先生 5
西凉 葛三叔 4
西凉 佟湘玉 4
西凉 邢捕头 5
